osm_way_id,street_name,road_type
4264947,unknown,cycleway
4270806,Roomtuintjes,cycleway
4641546,unknown,cycleway
4984557,unknown,cycleway
7044804,Stuurmankade,residential
7044806,Feike de Boerlaan,residential
7044817,Sumatrastraat,residential
7044819,Tidorestraat,residential
7044820,Valentijnkade,residential
7044822,Ceramplein,residential
7044824,Insulindeweg,residential
7044826,Insulindeweg,residential
7044828,Galileïplantsoen,residential
7044833,Niasstraat,residential
7044834,Karimatastraat,residential
7044835,Th. K. van Lohuizenlaan,tertiary
7044836,Javaplantsoen,residential
7044838,Boetonstraat,residential
7044840,Makassarstraat,residential
7044842,Gorontalostraat,residential
7044846,Cruquiusweg,tertiary
7044847,Bataviastraat,residential
7044850,Th. K. van Lohuizenlaan,tertiary
7044852,Bataviastraat,residential
7044857,Insulindeweg,residential
7044860,Semarangstraat,residential
7044863,Soembawastraat,residential
7044865,Tweede Ceramstraat,residential
7044866,Kramatweg,residential
7044871,Soembawastraat,cycleway
7044877,Makassarstraat,residential
7044879,Baweanstraat,residential
7044883,Th. K. van Lohuizenlaan,tertiary
7044886,Th. K. van Lohuizenlaan,tertiary
7044890,Borneokade,residential
7044891,Th. K. van Lohuizenlaan,tertiary
7044901,Ternatestraat,residential
7044905,Kramatweg,residential
7044911,Menadostraat,residential
7044921,Kramatweg,residential
7044928,Gorontalostraat,residential
7044940,Tidorestraat,residential
7044961,Tidorestraat,cycleway
7044969,Archimedeslaan,residential
7044991,Semarangstraat,residential
7044996,Kramatweg,residential
7044998,Bataviastraat,residential
7045000,Semarangstraat,residential
7045004,Ooster Ringdijk,cycleway
7045010,Valentijnkade,residential
7045022,Archimedeslaan,residential
7045060,Mataramstraat,residential
7045063,R.J.H. Fortuynplein,residential
7045065,Stokerkade,residential
7045066,Kwartiermeesterstraat,residential
7045074,Scheepstimmermanstraat,residential
7045114,R.J.H. Fortuynstraat,residential
7045117,R.J.H. Fortuynstraat,residential
7045132,Feike de Boerlaan,residential
7045149,R.J.H. Fortuynstraat,residential
7045166,Feike de Boerlaan,residential
7045174,Hofmeesterstraat,residential
7045185,R.J.H. Fortuynplein,residential
7045206,Borneokade,residential
7045247,Molukkenstraat,secondary
7045269,Zuiderzeeweg,secondary
7045311,Zeeburgerdijk,tertiary
7045354,Domselaerstraat,residential
7045356,Oetewalerpad,cycleway
7045357,Ringdijk,residential
7045371,Mr. P.N. Arntzeniusweg,residential
7045381,Johann Keplerstraat,residential
7045400,Hogeweg,residential
7045401,Sumatrastraat,residential
7045402,Riouwstraat,residential
7045404,Riouwstraat,residential
7045407,Pieter Nieuwlandstraat,residential
7045408,Dapperplein,residential
7045410,Tweede Atjehstraat,residential
7045412,Eerste Atjehstraat,residential
7045413,Haroekoestraat,residential
7045416,Eerste Atjehstraat,residential
7045418,Eerste Atjehstraat,residential
7045431,Pythagorasstraat,residential
7045443,Bredeweg,residential
7045445,Linnaeuskade,residential
7045447,Bredeweg,residential
7045452,Hogeweg,residential
7045453,Newtonstraat,residential
7045466,Laplacestraat,residential
7045473,Borneostraat,residential
7045481,Madurastraat,residential
7045483,Borneostraat,residential
7045485,Djambistraat,residential
7045487,Linnaeusparkweg,residential
7045491,Linnaeusparkweg,residential
7045496,Ptolemaeusstraat,residential
7045497,Hogeweg,cycleway
7045510,Linnaeuskade,residential
7045516,Archimedesweg,residential
7045523,Minahassastraat,residential
7045524,Minahassastraat,residential
7045527,Oosterspoorplein,residential
7045528,Oetewalerpad,cycleway
7045531,Oosterspoorplein,cycleway
7045532,Halmaheirastraat,residential
7045539,Oosterspoorplein,residential
7045541,Celebesstraat,residential
7045542,Oosterspoorplein,residential
7045547,Formosastraat,residential
7045552,J.C. Breenstraat,residential
7045554,Polderweg,residential
7045566,Boniplein,residential
7045570,Ter Gouwstraat,residential
7045571,Halmaheirastraat,residential
7045573,Woltera van Reesstraat,cycleway
7045574,Oosterspoorplein,cycleway
7045575,Sumatrastraat,residential
7045576,Boniplein,residential
7045577,Nic. de Roeverstraat,residential
7045583,Bonistraat,residential
7045584,Oetewalerstraat,residential
7045587,Palembangstraat,residential
7045591,Oosterspoorplein,cycleway
7045596,Madurastraat,residential
7045604,Javaplein,residential
7045606,Javaplein,residential
7045615,Insulindeweg,residential
7045618,Pontanusstraat,residential
7045620,Toministraat,residential
7045625,Dapperstraat,residential
7045626,Dapperstraat,residential
7045631,Van der Vijverstraat,residential
7045637,Sibogastraat,residential
7045640,Hajo Brugmanshof,residential
7045641,Ombilinstraat,residential
7045644,Hajo Brugmanshof,residential
7045656,Benkoelenstraat,residential
7045662,Langkatstraat,residential
7045668,Hajo Brugmanshof,residential
7045691,Molukkenstraat,secondary
7045693,Molukkenstraat,secondary
7045702,Von Zesenstraat,residential
7045703,Zeeburgerdijk,primary
7045705,Zeeburgerdijk,primary
7045719,Timorplein,residential
7045727,Zeeburgerdijk,residential
